Status,状态
Status is based on the configured evaluation direction and thresholds.,状态依据配置的评估方向和预警阈值。
Status is based on the KPI calculation rules.,状态依据指标计算规则。
Target Progress,目标完成度
Click to view details,点击查看明细
No data matching the current filters.,暂无符合当前筛选条件的数据。
Unable to load KPI data.,无法加载运营指标数据。
Realtime Inventory,实时库存
Delivery List,送货清单
Supplier Performance Evaluation,供应商回顾
Average Delay Days,平均延迟天数
Open Overdue Orders,在途逾期订单数
Unevaluable Orders,无法评估订单数
Max Open Overdue (Days),最长在途逾期(天)
Average Lead Time (Days),平均实际交期(天)
Supplier Rating Settings,供应商评级设置
Supplier Rating Standard,供应商评级标准
Standard Name,标准名称
Is Default,默认标准
Suppliers without a linked standard fall back to the default standard,未指定标准的供应商使用默认标准兜底
Rating Standard,评级标准
Applied Suppliers,适用供应商
Suppliers listed here use this standard. Suppliers not listed in any standard fall back to the default standard.,此处列出的供应商使用本标准；未列入任何标准的供应商使用默认标准兜底。
Rating Frequency,评级周期
How often suppliers are automatically rated,多久自动评级一次
Data window in months evaluated on each rating run,每次评级回看的数据窗口（月）
Previous Score Weight (%),上期得分权重(%)
Final score = current score x (100 - weight)% + previous score x weight%. Suppliers without rating history use the current score directly. 0 disables smoothing.,最终得分 = 本期得分 ×(100−权重)% + 上期得分 ×权重%；无评级历史的供应商直接采用本期得分；0 表示不结合历史。
Supplier Rating Record,供应商评级记录
Rating Date,评级日期
Period From,评估开始日期
Period To,评估截止日期
Dimension Scores,维度得分
On-time Score,及时率得分
Delay Score,延迟得分
Lead Time Score,交期得分
Return Score,质量得分
Current Score,本期得分
Rating Result,评级结果
Previous Score,上期得分
Composite Score,综合得分
Grade,等级
Rating History,评级历史
Enable Auto Rating,启用自动评级
Automatically rate suppliers on the configured frequency and write the grade back to the supplier. Replaces the native scorecard rating while enabled.,按设定的评级周期自动评定供应商等级并写回供应商档案。启用期间替代原生记分卡评级。
Evaluation Period (Months),评估周期(月)
How many recent months of purchase data are evaluated,评估最近几个月的采购数据
Minimum Evaluated Orders,最少已评估订单数
Suppliers with fewer evaluated orders keep their current rating,已评估订单数不足的供应商维持当前评级不变
Dimension Weights,维度权重
On-time Rate Weight (%),到货及时率权重(%)
Delay Days Weight (%),延迟天数权重(%)
Lead Time Weight (%),实际交期权重(%)
Return Rate Weight (%),退货率权重(%)
Scoring Parameters,评分参数
On-time Full Score Rate (%),及时率满分线(%)
On-time rate at or above this gets full score,及时率达到该线即满分
On-time Zero Score Rate (%),及时率零分线(%)
On-time rate at or below this gets zero score,及时率低于该线记 0 分
Delay Full Score Days,延迟满分天数
Average delay days at or below this gets full score,平均延迟不超过该天数即满分
Delay Zero Score Days,延迟零分天数
Average delay days at or above this gets zero score,平均延迟达到该天数记 0 分
Delay Tolerance Ratio (%),延迟容差比例(%)
Allowed delay per order line = promised lead time x this ratio before counting as delay for scoring,每个订单行的允许延迟 = 承诺交期 × 该比例；超出部分才计入评分延迟
Delay Tolerance Floor (Days),延迟容差保底(天)
Minimum tolerance in days applied to short or zero lead time items,容差下限；适用于短周期或零交期物料
Delay Tolerance Cap (Days),延迟容差封顶(天)
Maximum tolerance in days. 0 means no cap,容差上限；0 表示不封顶
Lead Time Full Score Days,交期满分天数
Average actual lead time at or below this gets full score,平均实际交期不超过该天数即满分
Lead Time Zero Score Days,交期零分天数
Average actual lead time at or above this gets zero score,平均实际交期达到该天数记 0 分
